Folio,Sexo,Edad,Gasolina1,Ocupación,País,Ciudad,ConducesAutomóvil,ConducesMotocicleta,Conduces,Gasolina2,Horas1,Gasolina3,Horas2,AñosEscolaridad,AG5,AG7,AG8,AG9,AG14,AG15,AG16,AG21,CAM1,CAM3,CAM4,CAM6,CAM7,CAM12,CAM18,AgrAutoF1,AgrAutoF2,AgrAuto,AgrMoto
C026,2,32, ,OFICIOS VARIOS,COL,LA UNION, ,2,2, , ,50,1,12, , , , , , , , ,1,2,1,1,1,3,1, , , ,1.42857142857143
C027,1,42, ,OFICIOS VARIOS,COL,LA UNION, ,2,2, , ,100,4,12, , , , , , , , ,5,1,3,3,2,5,1, , , ,2.85714285714286
C028,1,48, ,OFICIOS VARIOS,COL,LA UNION, ,2,2, , ,50,1,12, , , , , , , , ,2,3,1,1,1,1,1, , , ,1.42857142857143
C029,1,27, ,OFICIOS VARIOS,COL,LA UNION, ,2,2, , ,120,4,8, , , , , , , , ,2,1,2,1,1,1,1, , , ,1.28571428571429
C031,2,16, ,ESTUDIANTE,COL,ROLDANILLO, ,2,2, , ,100,2,11, , , , , , , , ,2,2,1,1,1,2,1, , , ,1.42857142857143
C033,2,17, ,ESTUDIANTE,COL,ROLDANILLO, ,2,2, , ,250,3,11, , , , , , , , ,3,2,2,3,3,2,1, , , ,2.28571428571429
C034,1,16, ,ESTUDIANTE,COL,ROLDANILLO, ,2,2, , ,50,.5,11, , , , , , , , ,2,2,1,1,1,2,1, , , ,1.42857142857143
C035,1,17, ,ESTUDIANTE,COL,ROLDANILLO, ,2,2, , ,175,3.5,11, , , , , , , , ,3,3,1,1,1,2,1, , , ,1.71428571428571
C037,2,17, ,ESTUDIANTE,COL,ROLDANILLO, ,2,2, , ,100,1,11, , , , , , , , ,2,1,1,1,1,1,1, , , ,1.14285714285714
C040,1,20, ,ESTUDIANTE,COL,ROLDANILLO, ,2,2, , ,125,1,15, , , , , , , , ,2,1,1,2,1,2,1, , , ,1.42857142857143
C041,2,23, ,ESTUDIANTE,COL,ROLDANILLO, ,2,2, , ,125,1,15, , , , , , , , ,2,1,1,3,3,1,1, , , ,1.71428571428571
C042,2,21, ,ESTUDIANTE,COL,ROLDANILLO, ,2,2, , ,25,1,15, , , , , , , , ,2,1,1,3,1,1,1, , , ,1.42857142857143
C043,2,21, ,ESTUDIANTE,COL,ROLDANILLO, ,2,2, , ,150,4.5,15, , , , , , , , ,2,1,1,1,1,3,1, , , ,1.42857142857143
C044,1,22, ,ESTUDIANTE,COL,ROLDANILLO, ,2,2, , ,150,1,16, , , , , , , , ,2,1,1,1,1,3,1, , , ,1.42857142857143
C045,1,26, ,ESTUDIANTE,COL,ROLDANILLO, ,2,2, , ,200,1.5,16, , , , , , , , ,2,1,1,1,2,4,1, , , ,1.71428571428571
C048,1,20, ,ESTUDIANTE,COL,ZARZAL, ,2,2, , ,175,1.5,16, , , , , , , , ,3,2,1,1,1,2,1, , , ,1.57142857142857
C053,2,24, ,ESTUDIANTE,COL,ZARZAL, ,2,2, , ,50,1,15, , , , , , , , ,3,3,1,1,1,2,1, , , ,1.71428571428571
C054,1,45, ,ESTUDIANTE,COL,ROLDANILLO, ,2,2, , ,150,6,17, , , , , , , , ,3,3,2,3,3,2,4, , , ,2.85714285714286
C055,2,35, ,INDEPENDIENTE,COL,ROLDANILLO, ,2,2, , ,80,3,17, , , , , , , , ,3,2,1,1,1,2,1, , , ,1.57142857142857
C057,1,23, ,ESTUDIANTE,COL,ZARZAL, ,2,2, , ,100,4,15, , , , , , , , ,3,5,1,2,1,2,1, , , ,2.14285714285714
C058,2,21, ,ESTUDIANTE,COL,LA UNION, ,2,2, , ,50,1,15, , , , , , , , ,4,2,3,1,1,3,1, , , ,2.14285714285714
C060,2,21, ,ESTUDIANTE,COL,LA UNION, ,2,2, , ,250,2,15, , , , , , , , ,2,1,1,3,1,2,1, , , ,1.57142857142857
C062,1,23, ,ESTUDIANTE,COL,ROLDANILLO, ,2,2, , ,50,1,15, , , , , , , , ,4,2,1,1,1,2,1, , , ,1.71428571428571
C063,2,21, ,ESTUDIANTE,COL,ROLDANILLO, ,2,2, , ,50,1.5,15, , , , , , , , ,1,1,1,1,1,1,1, , , ,1
C064,2,20, ,DISEÑADORA ESTUDIANTE,COL,ROLDANILLO, ,2,2, , ,100,.5,15, , , , , , , , ,3,1,1,1,1,1,1, , , ,1.28571428571429
C065,1,22, ,PRODUCTOR,COL,ROLDANILLO, ,2,2, , ,125,8,15, , , , , , , , ,4,4,3,1,1,3,3, , , ,2.71428571428571
C069,2,18, ,ESTUDIANTE,COL,ROLDANILLO, ,2,2, , ,50,.5,12, , , , , , , , ,2,1,1,1,1,1,1, , , ,1.14285714285714
C070,2,22, ,ESTUDIANTE,COL,ZARZAL, ,2,2, , ,50,2.5,16, , , , , , , , ,1,1,1,1,1,1,1, , , ,1
C091,2,19, ,ESTUDIANTE Y TRABAJADOR,COL,ROLDANILLO, ,2,2, , ,55,1.5,13, , , , , , , , ,1,1,1,1,1,1,1, , , ,1
C092,2,18, ,ESTUDIANTE,COL,ZARZAL, ,2,2, , ,62.5,1,13, , , , , , , , ,2,1,1,1,1,2,1, , , ,1.28571428571429
C096,2,20, ,ESTUDIANTE Y TRABAJADOR,COL,ZARZAL, ,2,2, , ,150,7,13, , , , , , , , ,4,1,3,1,1,3,1, , , ,2
C098,1,18, ,ESTUDIANTE,COL,LA UNION, ,2,2, , ,50,3.5,13, , , , , , , , ,2,4,1,1,1,2,1, , , ,1.71428571428571
C100,2,34, ,ADMINISTRATIVA,COL,ROLDANILLO, ,2,2, , ,50,2,17, , , , , , , , ,2,1,1,1,1,2,1, , , ,1.28571428571429
KMC03,1,19, ,ESTUDIANTE UNIVERSITARIO,MEX,ESTADO DE MEXICO, ,2,2, , ,300,1,15, , , , , , , , ,2,2,3,2,2,2,1, , , ,2
KMC06,1,19, ,REPARTIDOR,MEX,ESTADO DE MEXICO, ,2,2, , ,300,12,13, , , , , , , , ,2,2,1,1,1,1,1, , , ,1.28571428571429
KMC08,2,21, ,ESTUDIANTE UNIVERSITARIO,MEX,ESTADO DE MEXICO, ,2,2, , ,200,1.5,15, , , , , , , , ,2,1,2,1,2,2,1, , , ,1.57142857142857
KMC12,1,20, ,ESTUDIANTE UNIVERSITARIO,MEX,ESTADO DE MEXICO, ,2,2, , ,200,2,14, , , , , , , , ,4,2,1,4,1,4,3, , , ,2.71428571428571
KMC14,1,22, ,ESTUDIANTE UNIVERSITARIO,MEX,ESTADO DE MEXICO, ,2,2, , ,200,1,13, , , , , , , , ,2,2,1,1,2,1,1, , , ,1.42857142857143
KMC18,1,21, ,ESTUDIANTE UNIVERSITARIO,MEX,ESTADO DE MEXICO, ,2,2, , ,100,2,15, , , , , , , , ,1,2,3,2,2,2,2, , , ,2
KMC20,2,18, ,ESTUDIANTE UNIVERSITARIO,MEX,ESTADO DE MEXICO, ,2,2, , ,100,.5,13, , , , , , , , ,1,5,1,1,1,4,1, , , ,2
KMC24,1,23, ,ESTUDIANTE UNIVERSITARIO,MEX,ESTADO DE MEXICO, ,2,2, , ,150,1.32,14, , , , , , , , ,2,3,3,2,2,1,1, , , ,2
KMC26,1,24, ,ESTUDIANTE UNIVERSITARIO,MEX,ESTADO DE MEXICO, ,2,2, , ,350,3,15, , , , , , , , ,2,1,1,2,1,2,1, , , ,1.42857142857143
KMC28,1,23, ,ESTUDIANTE UNIVERSITARIO,MEX,ESTADO DE MEXICO, ,2,2, , ,300,2,17, , , , , , , , ,3,2,2,2,1,2,1, , , ,1.85714285714286
KMC29,2,20, ,ESTUDIANTE UNIVERSITARIO,MEX,ESTADO DE MEXICO, ,2,2, , ,150,1.5,17, , , , , , , , ,3,3,2,4,4,1,1, , , ,2.57142857142857
KMC33,1,22, ,ESTUDIANTE UNIVERSITARIO,MEX,ESTADO DE MEXICO, ,2,2, , ,400,4,16, , , , , , , , ,5,3,1,1,1,2,1, , , ,2
KMC38,1,18, ,ESTUDIANTE UNIVERSITARIO,MEX,ESTADO DE MEXICO, ,2,2, , ,250,4,12, , , , , , , , ,3,3,1,2,3,2,1, , , ,2.14285714285714
KMC42,1,20, ,ESTUDIANTE UNIVERSITARIO,MEX,ESTADO DE MEXICO, ,2,2, , ,250,2,14, , , , , , , , ,4,1,2,1,1,3,1, , , ,1.85714285714286
KMC43,2,21, ,ESTUDIANTE UNIVERSITARIO,MEX,ESTADO DE MEXICO, ,2,2, , ,100,2,12, , , , , , , , ,1,3,1,1,3,2,1, , , ,1.71428571428571
KMC48,1,28, ,DOCENTE UNIVERSITARIO,MEX,ESTADO DE MEXICO, ,2,2, , ,200,.5,17, , , , , , , , ,2,1,2,1,1,1,1, , , ,1.28571428571429
KMC51,3,23, ,ESTUDIANTE UNIVERSITARIO,MEX,ESTADO DE MEXICO, ,2,2, , ,200,2,12, , , , , , , , ,2,1,2,1,1,3,3, , , ,1.85714285714286
     3,1,38,100,PSICÓLOGO,MÉ,CUERNAVACA, ,2,2, , ,100,5,17, , , , , , , , ,4,3,2,2,1,3,2, , , ,2.42857142857143
     4,2,23,120,ESTUDIANTE,MÉ,CUERNAVACA, ,2,2, , ,120,6,16, , , , , , , , ,4,3,2,1,1,3,1, , , ,2.14285714285714
     9,1,29,450,REPARTIDOR,MÉ,CUERNAVACA, ,2,2, , ,450,9,10, , , , , , , , ,4,4,4,3,2,4,3, , , ,3.42857142857143
    11,1,30,700,REPARTIDOR,MÉ,XOCHITEPEC, ,2,2, , ,700,9,7, , , , , , , , ,4,4,4,4,4,4,4, , , ,4
    12,2,45,150,COCINERA,MÉ,XOCHITEPEC, ,2,2, , ,150,3,9, , , , , , , , ,1,1,1,1,1,1,1, , , ,1
    13,2,30,150,MESERA,MÉ,XOCHITEPEC, ,2,2, , ,150,1,10, , , , , , , , ,2,2,1,2,1,1,1, , , ,1.42857142857143
    14,2,28,200,MESERA,MÉ,XOCHITEPEC, ,2,2, , ,200,1,9, , , , , , , , ,1,1,2,2,2,2,1, , , ,1.57142857142857
    15,1,47,500,REPARTIDOR,MÉ,XOCHITEPEC, ,2,2, , ,500,8,10, , , , , , , , ,2,2,2,2,2,2,2, , , ,2
    17,1,22,120,ESTUDIANTE,MÉ,CUERNAVACA, ,2,2, , ,120,2,14, , , , , , , , ,3,3,2,3,1,3,3, , , ,2.57142857142857
    18,1,30,500,REPARTIDOR,MÉ,CUERNAVACA, ,2,2, , ,500,7,8, , , , , , , , ,3,3,3,3,3,3,3, , , ,3
    19,2,57,100,DESPACHADOR DE GASOLINA,MÉ,CUERNAVACA, ,2,2, , ,100,1,9, , , , , , , , ,1,1,2,1,1,1,1, , , ,1.14285714285714
    20,1,59,250,TORTILLERO,MÉ,CUERNAVACA, ,2,2, , ,250,2,11, , , , , , , , ,2,2,2,3,1,3,3, , , ,2.28571428571429
    22,2,39,150,DESPACHADOR DE GASOLINA,MÉ,CUERNAVACA, ,2,2, , ,150,1,11, , , , , , , , ,1,1,2,1,1,1,1, , , ,1.14285714285714
    25,1,19,200,ESTUDIANTE,MÉ,CUERNAVACA, ,2,2, , ,200,3,12, , , , , , , , ,2,2,2,3,2,2,2, , , ,2.14285714285714
    26,1,27,1000,TAXISTA,MÉ,CUERNAVACA, ,2,3, , ,100,1,15,1,1,1,1,1,3,1,1,5,4,4,3,3,3,3,1.5,1,1.28571428571429,3.57142857142857
    29,1,19,200,ESTUDIANTE,MÉ,CUERNAVACA, ,2,2, , ,200,2,13, , , , , , , , ,5,5,3,3,3,4,3, , , ,3.71428571428571
    30,1,25,600,REPARTIDOR,MÉ,CUERNAVACA, ,2,2, , ,600,7,13, , , , , , , , ,4,5,4,4,3,4,4, , , ,4
    31,1,31,300,TORTILLERO,MÉ,CUERNAVACA, ,2,2, , ,500,6,9, , , , , , , , ,5,5,1,1,1,1,1, , , ,2.14285714285714
    32,2,42,150,DESPACHADOR DE GASOLINA,MÉ,CUERNAVACA, ,2,2, , ,150,1,8, , , , , , , , ,1,1,1,1,1,1,1, , , ,1
    33,1,40,300,ALBAÑIL,MÉ,CUERNAVACA, ,2,2, , ,300,3,6, , , , , , , , ,4,4,3,3,2,3,3, , , ,3.14285714285714
    34,1,35,200,MESERO,MÉ,CUERNAVACA, ,2,2, , ,200,1,9, , , , , , , , ,2,2,1,1,1,1,1, , , ,1.28571428571429
    38,1,26,500,REPARTIDOR,MÉ,CUERNAVACA, ,2,2, , ,500,8,11, , , , , , , , ,5,5,5,2,2,2,2, , , ,3.28571428571429
    39,1,28,100,DESPACHADOR DE GASOLINA,MÉ,CUERNAVACA, ,2,2, , ,100,1,9, , , , , , , , ,5,5,5,5,2,5,5, , , ,4.57142857142857
    43,2,23,150,ESTUDIANTE,MÉ,CUERNAVACA, ,2,2, , ,150,2,17, , , , , , , , ,5,5,1,1,1,1,1, , , ,2.14285714285714
    45,1,23,200,ESTUDIANTE,MÉ,CUERNAVACA, ,2,2, , ,200,3,13, , , , , , , , ,4,4,2,2,1,2,2, , , ,2.42857142857143
    57,2,29,150,MESERA,MÉ,XOCHITEPEC, ,2,2, , ,150,2,6, , , , , , , , ,1,5,1,1,1,1,1, , , ,1.57142857142857
    58,1,27,250,MESERO,MÉ,XOCHITEPEC, ,2,2, , ,250,3,11, , , , , , , , ,5,5,5,5,4,4,4, , , ,4.57142857142857
    59,1,49,200,PIZZERO,MÉ,XOCHITEPEC, ,2,2, , ,200,2,9, , , , , , , , ,5,5,4,4,4,4,4, , , ,4.28571428571429
    60,1,31,250,ALBAÑIL,MÉ,XOCHITEPEC, ,2,2, , ,250,2,9, , , , , , , , ,5,5,5,4,5,5,5, , , ,4.85714285714286
    68,2,23,200,CAFETERIA,MÉ,CUERNAVACA, ,2,2, , ,200,2,13, , , , , , , , ,3,3,2,2,1,2,2, , , ,2.14285714285714
    69,2,26,120,FARMACIA,MÉ,CUERNAVACA, ,2,2, , ,120,1,13, , , , , , , , ,3,3,2,2,2,2,2, , , ,2.28571428571429
    75,1,20,250,MESERO,MÉ,CUERNAVACA, ,2,2, , ,250,2,12, , , , , , , , ,3,2,1,1,1,1,1, , , ,1.42857142857143
    76,2,23,200,ESTUDIANTE,MÉ,CUERNAVACA, ,2,2, , ,200,2,14, , , , , , , , ,3,3,2,1,1,1,1, , , ,1.71428571428571
    80,1,18,100,ESTUDIANTE,MÉ,CUERNAVACA, ,2,2, , ,100,1,12, , , , , , , , ,4,4,4,3,3,3,4, , , ,3.57142857142857
    81,2,28,150,LASHISTA,MÉ,CUERNAVACA, ,2,2, , ,150,1,12, , , , , , , , ,2,2,2,1,1,1,1, , , ,1.42857142857143
    86,1,22,300,EMPRENDEDOR,MÉ,XOCHITEPEC, ,2,2, , ,300,3,17, , , , , , , , ,3,3,3,1,1,1,1, , , ,1.85714285714286
    95,1,22,250,ESTUDIANTE,MÉ,CUERNAVACA, ,2,2, , ,250,3,13, , , , , , , , ,4,4,1,1,1,1,1, , , ,1.85714285714286
    96,2,31,300,VENDEDOR DE ROPA,MÉ,CUERNAVACA, ,2,2, , ,300,3,12, , , , , , , , ,1,1,1,1,1,1,1, , , ,1
    97,1,24,120,ESTUDIANTE,MÉ,CUERNAVACA, ,2,2, , ,120,2,15, , , , , , , , ,3,3,1,1,1,1,1, , , ,1.57142857142857
    98,2,26,100,COCINERA,MÉ,CUERNAVACA, ,2,2, , ,100,1,12, , , , , , , , ,1,1,1,1,1,1,1, , , ,1
LDG-00,1,21,300,REPARTIDOR,MEX,MORELIA, ,2,2, , ,300,3,12, , , , , , , , ,3,1,1,1,2,4,2, , , ,2
LDG-00,1,30,320,REPARTIDOR,MEX,MORELIA, ,2,2, , ,320,3,15, , , , , , , , ,2,1,1,1,2,3,2, , , ,1.71428571428571
LDG-00,2,30,100,AMA DE CASA,MEX,MORELIA, ,2,2, , ,100,1,12, , , , , , , , ,2,1,2,1,1,4,1, , , ,1.71428571428571
LDG-00,1,20,180,AUXILIAR ADMINISTRATIVO,MEX,MORELIA, ,2,2, , ,180,2,12, , , , , , , , ,1,1,1,1,1,3,1, , , ,1.28571428571429
LDG-00,1,34,400,REPARTIDOR,MEX,MORELIA, ,2,2, , ,400,4,14, , , , , , , , ,2,1,1,1,2,3,1, , , ,1.57142857142857
LDG-00,2,41,150,FLORISTA,MEX,MORELIA, ,2,2, , ,150,2,12, , , , , , , , ,1,2,1,2,2,1,1, , , ,1.42857142857143
LDG-01,1,18,180,ESTUDIANTE,MEX,MORELIA, ,2,2, , ,180,2,13, , , , , , , , ,2,1,1,1,2,1,1, , , ,1.28571428571429
LDG-01,1,40,150,PSICOLOGO,MEX,MORELIA, ,2,2, , ,150,2,19, , , , , , , , ,2,1,1,1,2,2,2, , , ,1.57142857142857
LDG-01,1,29,350,REPARTIDOR,MEX,MORELIA, ,2,2, , ,350,4,13, , , , , , , , ,3,1,1,1,1,2,1, , , ,1.42857142857143
LDG-01,2,36,200,DOCENTE,MEX,MORELIA, ,2,2, , ,200,2,23, , , , , , , , ,1,1,1,1,1,2,1, , , ,1.14285714285714
LDG-01,1,36,350,REPARTIDOR,MEX,MORELIA, ,2,2, , ,350,5,9, , , , , , , , ,2,1,2,1,1,2,1, , , ,1.42857142857143
LDG-01,1,34,172,PLOMERO,MEX,MORELIA, ,2,2, , ,172,2,13, , , , , , , , ,1,1,1,1,1,1,1, , , ,1
LDG-02,2,25,200,VENDEDORA DE TIENDA,MEX,MORELIA, ,2,2, , ,200,1,16, , , , , , , , ,2,1,1,3,2,1,1, , , ,1.57142857142857
LDG-03,2,20,120,EMPLEADA DE MOSTRADOR,MEX,MORELIA, ,2,2, , ,120,1,14, , , , , , , , ,2,2,1,1,1,1,1, , , ,1.28571428571429
LDG-03,1,18,120,ESTUDIANTE,MEX,MORELIA, ,2,2, , ,120,1,12, , , , , , , , ,3,2,1,1,2,2,2, , , ,1.85714285714286
LDG-04,1,37,180,PROFESOR,MEX,MORELIA, ,2,2, , ,180,1,23, , , , , , , , ,2,1,2,1,3,4,1, , , ,2
LDG-04,1,41,220,ARQUITECTO,MEX,MORELIA, ,2,2, , ,220,2,19, , , , , , , , ,2,1,2,1,2,4,1, , , ,1.85714285714286
LDG-04,1,45,180,TATUADOR,MEX,MORELIA, ,2,2, , ,180,2,17, , , , , , , , ,2,1,1,3,1,1,1, , , ,1.42857142857143
LDG-04,1,47,150,DOCENTE,MEX,MORELIA, ,2,2, , ,150,1,23, , , , , , , , ,3,1,2,2,1,3,3, , , ,2.14285714285714
LDG-05,2,22,120,ESTUDIANTE,MEX,QUERETARO, ,2,2, , ,120,1,16, , , , , , , , ,2,1,1,2,2,3,2, , , ,1.85714285714286
LDG-05,1,34,160,COMERCIANTE,MEX,MORELIA, ,2,2, , ,160,1,9, , , , , , , , ,2,1,2,2,3,2,3, , , ,2.14285714285714
LDG-05,1,18,200,AUXILIAR DE LLAMADAS,MEX,MORELIA, ,2,2, , ,200,1,12, , , , , , , , ,3,1,2,2,1,2,1, , , ,1.71428571428571
LDG-05,2,22,180,CONTADORA,MEX,MORELIA, ,2,2, , ,180,1,17, , , , , , , , ,2,1,2,1,1,2,2, , , ,1.57142857142857
LDG-05,2,56,200,ADMINISTRADOR,MEX,MORELIA, ,2,2, , ,200,2,17, , , , , , , , ,2,1,1,2,1,1,1, , , ,1.28571428571429
LDG-05,1,47,280,DOCENTE,MEX,MORELIA, ,2,2, , ,280,2,19, , , , , , , , ,1,1,1,1,2,3,2, , , ,1.57142857142857
LDG-06,1,42,180,DOCENTE,MEX,MORELIA, ,2,2, , ,180,2,22, , , , , , , , ,2,1,1,1,1,2,1, , , ,1.28571428571429
LDG-06,1,20,200,PROFESORA,MEX,MORELIA, ,2,2, , ,200,1,23, , , , , , , , ,1,1,1,2,1,2,1, , , ,1.28571428571429
LDG-06,2,41,120,CAJERA DE FARMACIA,MEX,MORELIA, ,2,2, , ,120,1,17, , , , , , , , ,2,1,1,1,1,2,1, , , ,1.28571428571429
LDG-07,1,23,200,MESERO,MEX,MORELIA, ,2,2, , ,200,2,12, , , , , , , , ,2,1,1,1,1,2,1, , , ,1.28571428571429
LDG-07,2,46,120,ESTILISTA,MEX,MORELIA, ,2,2, , ,120,1,16, , , , , , , , ,2,1,2,2,1,2,1, , , ,1.57142857142857
LDG-07,2,28,120,COSMETÓLOGA,MEX,MORELIA, ,2,2, , ,120,1,15, , , , , , , , ,1,1,2,2,1,2,1, , , ,1.42857142857143
LDG-07,2,39,150,PERSONAL DE INTENDECIA,MEX,MORELIA, ,2,2, , ,150,2,9, , , , , , , , ,2,1,2,2,2,2,1, , , ,1.71428571428571
LDG-07,1,33,180,ODONTOLOGO,MEX,MORELIA, ,2,2, , ,180,1,17, , , , , , , , ,1,1,1,2,2,3,2, , , ,1.71428571428571
LDG-07,2,18,240,ESTUDIANTE,MEX,MORELIA, ,2,2, , ,240,2,13, , , , , , , , ,2,1,2,1,1,3,2, , , ,1.71428571428571
LDG-08,2,23,120,TELEFONISTA,MEX,MORELIA, ,2,2, , ,120,1,15, , , , , , , , ,2,1,1,1,2,3,2, , , ,1.71428571428571
LDG-08,1,27,180,DISEÑADORA DE MODAS,MEX,MORELIA, ,2,2, , ,180,2,15, , , , , , , , ,1,1,1,1,1,3,1, , , ,1.28571428571429
LDG-08,1,31,150,EMPLEADO DE TIENDA,MEX,MORELIA, ,2,2, , ,150,1,9, , , , , , , , ,2,1,1,1,1,2,1, , , ,1.28571428571429
